IndexTotal,Index,Title,AverageReviewScore,NumberOfReviews,Images,Highlights,Price,Savings,MonthlyPayment
1,0,"LG - 48"" Class B4 Series OLED 4K UHD Smart webOS TV (2024)",0,0,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6d363129-0812-41d4-b7e3-5e3b15c4df3f.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/1806534108.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6d363129-0812-41d4-b7e3-5e3b15c4df3f.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6d363129-0812-41d4-b7e3-5e3b15c4df3f.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6d363129-0812-41d4-b7e3-5e3b15c4df3f.jpg;maxHeight=1920;maxWidth=900?format=webp']",,599.99,100,50
2,1,Samsung - 65” Class S85D Series OLED 4K Smart Tizen TV (2024),0,0,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578059_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/prescaled/180/320/image2/BestBuy_US/images/videos/1309919774.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578059_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578059_sd.jpg;maxHeight=128;maxWidth=64?format=webp', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578059_sd.jpg;maxHeight=1920;maxWidth=900?format=webp']","Resolution4K (2160p)Screen Size Class65 inchesDisplay TypeOLEDSmart CapableYesVoice Assistant Built-inAmazon Alexa, Bixby",1299.99,500,75
3,2,TV + Samsung HW-Q850D 7.1.2-Ch Soundbar,4.8,1014,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576598_sd.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/50d42d40-13cd-44f8-ae84-3aeb14931de9.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576598_sd.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/50d42d40-13cd-44f8-ae84-3aeb14931de9.jpg;maxHeight=62;maxWidth=62']",,1799.98,300,104.16
4,3,TV + Samsung HW-Q990D 11.1.4-Ch Soundbar,4.8,1014,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576598_sd.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6570/6570312_sd.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576598_sd.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6570/6570312_sd.jpg;maxHeight=62;maxWidth=62']",,2499.98,300,72.91
5,4,TV + Samsung HW-QS730D 3.1.2-Ch Soundbar,4.8,1014,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576598_sd.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/caa5d62f-2dfc-4b84-bcc1-b8d12fc7886b.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576598_sd.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/caa5d62f-2dfc-4b84-bcc1-b8d12fc7886b.jpg;maxHeight=62;maxWidth=62']",,1749.98,300,68.75
6,5,"Package - LG - 65"" Class C4 Series OLED evo 4K UHD Smart webOS TV (2024) and 5.1.1-Channel S70TR Home Theater Soundbar with Wireless Subwoofer and Rear Speakers, Dolby Atmos, WOW Orchestra - Black",4.8,1059,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6944bb15-f509-4fba-9434-5eb440029c22.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578017ld.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6944bb15-f509-4fba-9434-5eb440029c22.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578017ld.jpg;maxHeight=62;maxWidth=62']",,1649.98,300,99.99
7,6,"Package - LG - 65"" Class C4 Series OLED evo 4K UHD Smart webOS TV (2024) and 7.1.3-Channel S90TR Home Theater Soundbar with Wireless Subwoofer and Rear Speakers, Dolby Atmos, WOW Orchestra - Black",4.8,1062,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6944bb15-f509-4fba-9434-5eb440029c22.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/759e0d40-6cc9-4df3-a3b7-9f4b81f76968.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6944bb15-f509-4fba-9434-5eb440029c22.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/759e0d40-6cc9-4df3-a3b7-9f4b81f76968.jpg;maxHeight=62;maxWidth=62']",,2399.98,300,74.99
8,7,"Package - LG - 65"" Class C4 Series OLED evo 4K UHD Smart webOS TV (2024) and 3.1.3 Channel SC9S Soundbar with Wireless Subwoofer, Dolby Atmos, WOW Orchestra - Black",4.8,1062,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6944bb15-f509-4fba-9434-5eb440029c22.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6537/6537780cv37d.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6944bb15-f509-4fba-9434-5eb440029c22.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6537/6537780cv37d.jpg;maxHeight=62;maxWidth=62']",,1799.98,300,81.24
9,8,TV + Samsung HW-QS730D 3.1.2-Ch Soundbar,4.8,0,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576598_sd.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/caa5d62f-2dfc-4b84-bcc1-b8d12fc7886b.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6576/6576598_sd.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/caa5d62f-2dfc-4b84-bcc1-b8d12fc7886b.jpg;maxHeight=62;maxWidth=62']",,1949.98,100,77.1
10,9,"Package - LG - 65"" Class C4 Series OLED evo 4K UHD Smart webOS TV (2024) and 5.1.1-Channel S70TR Home Theater Soundbar with Wireless Subwoofer and Rear Speakers, Dolby Atmos, WOW Orchestra - Black",4.8,0,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6944bb15-f509-4fba-9434-5eb440029c22.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578017ld.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6944bb15-f509-4fba-9434-5eb440029c22.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6578/6578017ld.jpg;maxHeight=62;maxWidth=62']",,1849.98,100,99.99
11,10,"Package - LG - 65"" Class B4 Series OLED 4K UHD Smart webOS TV (2024) and 9.1.5-Channel S95TR Home Theater Soundbar with Wireless Subwoofer and Rear Speakers, Dolby Atmos, WOW Orchestra - Black",4.7,214,"['https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6577/6577958ld.jpg;maxHeight=550;maxWidth=650', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/a251f1a3-c702-46a3-bbf2-295c829dd44f.jpg;maxHeight=62;maxWidth=62', 'https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6577/6577958ld.jpg;maxHeight=62;maxWidth=62']",,2399.98,300,104
